feature_id	title	evidence_incoming
FEAT-36E5	Executive Summary	701
FEAT-76C2	Simple task view when scattered	681
FEAT-05F0	Vision: The Magical Experience	661
FEAT-1D2E	5. Claude Code Desktop Extensions and MCP Integration	661
FEAT-F2F2	Advantages:	656
FEAT-BEAA	Essential Context Questions (Optional - Improves Results)	652
FEAT-04FB	Key performance indicators	649
FEAT-B217	Trade-offs Accepted:	649
FEAT-DBCC	ðŸš€ **Revolutionary Achievement - DEPLOYMENT SUCCESS**	649
FEAT-34C0	Context	644
FEAT-F3F6	Best Practices	642
FEAT-7111	2. Leantime ADHD Features and API Coverage	641
FEAT-1622	3. Key Findings & Data	634
FEAT-A09A	ðŸ“ˆ Metrics & Feedback	634
FEAT-DC27	**Impact**:	633
FEAT-B9A2	2. **/sc:implement**	628
FEAT-5B72	Slice-Based Development Commands	627
FEAT-54E1	2. Key Actors & Personas	623
FEAT-00CF	Unnamed Feature	621
FEAT-0647	Workflow integration creates synergy	620
FEAT-72D3	5. SerenaSchemaManager (`schema_manager.py`)	619
FEAT-94F1	ADR: Local-first core and sandboxed commands	609
FEAT-09E2	4. Conclusions & Implications	608
FEAT-B904	Architectural Benefits:	606
FEAT-5FFF	7. `/ship` - Integration and Documentation	604
FEAT-1F2E	**All Objectives Delivered**	603
FEAT-A47A	Immediate Actions	601
FEAT-3D52	3. Key Findings & Data	600
FEAT-894B	4. Conclusions & Implications	599
FEAT-1108	Feature Implementation Priority	597
FEAT-7191	Execution Preferences (Optional - Controls Output)	597
FEAT-CC45	2. Methodology	596
FEAT-294E	Next Steps	594
FEAT-4711	**Core Lifecycle Commands**	594
FEAT-6EB3	MCD-Driven Development	592
FEAT-A560	Agent Orchestration Engine	591
FEAT-3294	Advantages of Helix Fork:	590
FEAT-1CFB	4. Non-Functional Requirements (NFRs)	588
FEAT-6EE2	ðŸš€ PRODUCTION READY STATUS	588
FEAT-F36E	5. Technical Constraints & Decisions	588
FEAT-1A99	1. Research Question or Hypothesis	585
FEAT-598D	5. Unique User-Facing Features & Implementations	585
FEAT-BFFD	7. Leantime API and Webhook Integration Patterns	583
FEAT-1BA7	4. Integration Test Implementation âœ…	582
FEAT-5C6F	1. Context Preservation System	581
FEAT-D9AD	5.1 Lifecycle commands	578
FEAT-E85D	Architectural patterns for dopemux enhanced Claude Code	578
FEAT-02F3	8.1 Technical Risks	574
FEAT-2073	Git Workflow	571
FEAT-1213	Step 1: Extend SessionManager Data Models	570
